Height,Weight,Age
161,90,49
173,78,54
195,63,35
157,61,65
195,59,21
177,50,24
179,67,29
176,100,63
158,52,45
153,82,61
180,85,28
172,75,32
185,92,41
168,68,37
190,95,44
175,72,30
182,80,33
178,77,26
165,65,39
188,89,42
171,70,31
183,83,36
167,66,38
181,81,29
174,73,27
169,69,40
186,88,43
164,64,34
187,87,45
176,76,28
170,71,32
184,84,37
162,62,30
189,90,46
177,79,31
173,74,33
175,78,29
180,86,35
168,67,38
182,82,34
179,77,36
171,72,39
185,91,40
174,75,41
176,80,42
178,83,43
172,73,44
181,85,45
183,87,46
